ADDRESS,STREET_NAME,POSTCODE,SALE_PRICE,HOUSE_TYPE,FREEHOLD/LEASEHOLD,RES_NEW/OLD,SALE_DATE,BEDROOMS,STATIONDIST_MILES
6 Devey Close, ,KT2 7DZ,1250000,Detached, Freehold, Residential,01-Aug-18,3,0.9
37 Cobham Road, ,KT1 3AE,720000,Detached, Freehold, Residential,01-Aug-18,3,0.1
Birch Grove Warren Road, ,KT2 7HN,2500000,Detached, Freehold, Residential,01-Aug-18,5,0.9
Horncreek Coombe Hill Road, ,KT2 7DU,3550000,Detached, Freehold, Residential,01-Aug-18,,
Woodend23, Liverpool Road ,KT2 7SX,2050000,Detached, Freehold, Residential,01-Aug-18,4,0.5
Windfall Coombe Wood Road, ,KT2 7JY,1510000,Detached, Freehold, Residential,01-Aug-18,4,5.3
26a Clifton Road, ,KT2 6PH,900000,Detached, Freehold, Residential,01-Aug-18,4,0.3
54 Cobham Road, ,KT1 3AF,917000,Detached, Freehold, Residential,01-Aug-18,5,0.2
25 Revell Road, ,KT1 3SL,1450000,Detached, Freehold, Residential,01-Aug-18,5,0.3
96 Latchmere Road, ,KT2 5TT,1280000,Detached, Freehold, Residential,01-Jul-18,4,0.7
1 Lowther Road, ,KT2 6LL,555000,Detached, Freehold, Residential,01-Jul-18,2,0.5
Tudor Cottage Coombe Hill Road, ,KT2 7DU,1500000,Detached, Freehold, Residential,01-Jul-18,3,1
12 Manston Grove, ,KT2 5GF,960000,Detached, Freehold, Residential,01-Jul-18,4,1
3 Coombe Hill Glade, ,KT2 7EF,1650000,Detached, Freehold, Residential,01-Jul-18,6,1
67 Staunton Road, ,KT2 5TN,399950,Detached, Freehold, Residential,01-Jul-18,1,0.6
45 Avenue Road, ,KT1 2RD,547000,Detached, Freehold, Residential,01-Jul-18,,
White Cottage Warboys Road, ,KT2 7LS,2100000,Detached, Freehold, Residential,01-Jul-18,4,0.9
13 Milner Road, ,KT1 2AU,1337000,Detached, Freehold, Residential,01-Jun-18,5,0.6
83 Gibbon Road, ,KT2 6AE,1650000,Detached, Freehold, Residential,01-Jun-18,6,0.4
48 Albany Park Road, ,KT2 5SU,1625000,Detached, Freehold, Residential,01-Jun-18,6,0.7
Agrawal House Coombe Park, ,KT2 7JB,2800000,Detached, Freehold, Residential,01-Jun-18,,
8 Dutch Gardens, ,KT2 7TT,1220000,Detached, Freehold, Residential,01-Jun-18,4,0.6
27 Kingston Hill, ,KT2 7PW,1550000,Detached, Freehold, Residential,01-Jun-18,5,0.2
26 Borough Road, ,KT2 6BD,879283,Detached, Freehold, Residential,01-Jun-18,4,0.3
281 Park Road, ,KT2 5LW,850000,Detached, Freehold, Residential,01-Jun-18,3,0.8
104 Lower Ham Road, ,KT2 5BD,2600000,Detached, Freehold, Residential,01-May-18,5,0.8
45a Vicarage Road, Hampton Wick ,KT1 4EB,1170000,Detached, Freehold, Residential,01-May-18,5,0.2
43 St Albans Road, ,KT2 5HH,1085000,Detached, Freehold, Residential,01-May-18,3,0.7
Hurston House Stoke Road, ,KT2 7NX,3300000,Detached, Freehold, Residential,01-May-18,6,0.7
169 Elm Road, ,KT2 6HY,780000,Detached, Freehold, Residential,01-May-18,3,0.5
16 Crescent Road, ,KT2 7RG,825000,Detached, Freehold, Residential,01-Apr-18,4,0.5
Flat 511, Seymour Road ,KT1 4HN,230000,Detached, Leasehold, Residential,01-Apr-18,,
44 St Georges Road, ,KT2 6DN,875000,Detached, Freehold, Residential,01-Apr-18,4,0.4
114 Park Road, ,KT2 5JZ,1187500,Detached, Freehold, Residential,01-Apr-18,5,0.7
21 Coombe Ridings, ,KT2 7JU,8436000,Detached, Freehold, Residential,01-Apr-18,6,1
26 Cromwell Road, ,KT2 6RE,800000,Detached, Freehold, Residential,01-Apr-18,0,0.2
47 Cobham Road, ,KT1 3AE,795000,Detached, Freehold, Residential,01-Apr-18,4,0.1
30 Craven Road, ,KT2 6LW,699950,Detached, Freehold, Residential,01-Apr-18,3,0.4
12 Caversham Road, ,KT1 2PX,750000,Detached, Freehold, Residential,01-Mar-18,3,0.3
32 Lancaster Gardens, ,KT2 5NL,750000,Detached, Freehold, Residential,01-Mar-18,3,0.9
22 Richmond Park Road, ,KT2 6AH,840000,Detached, Freehold, Residential,01-Mar-18,3,0.3
32 Durlston Road, ,KT2 5RT,1178000,Detached, Freehold, Residential,01-Mar-18,3,0.7
The Wall Cottage Coombe Hill Road, ,KT2 7DY,2682500,Detached, Freehold, Residential,01-Mar-18,5,1
45 Grove Lane, ,KT1 2SR,865000,Detached, Freehold, Residential,01-Mar-18,3,0.7
4 Oaklea Passage, ,KT1 2AJ,620000,Detached, Freehold, Residential,01-Mar-18,4,0.5
19 Lord Chancellor Walk, ,KT2 7HG,1400000,Detached, Freehold, Residential,01-Mar-18,6,0.7
77 Canbury Avenue, ,KT2 6JR,1100000,Detached, Freehold, Residential,01-Mar-18,4,0.4
White Cottage Palace Road, ,KT1 2LG,1800000,Detached, Freehold, Residential,01-Mar-18,5,0.5
150 Coombe Lane West, ,KT2 7DE,1925000,Detached, Freehold, Residential,01-Feb-18,5,0.8
43 Fairfield South, ,KT1 2UW,765000,Detached, Freehold, Residential,01-Feb-18,2,0.5
197 Park Road, ,KT2 5JY,1353750,Detached, Freehold, Residential,01-Feb-18,4,0.6
8 Glenville Road, ,KT2 6DD,1020000,Detached, Freehold, Residential,01-Feb-18,4,0.3
Caroline House George Road, ,KT2 7NR,1620000,Detached, Freehold, Residential,01-Jan-18,5,0.6
25a Grove Crescent, ,KT1 2DG,980000,Detached, Freehold, Residential,01-Dec-17,4,0.6
18 Brook Gardens, ,KT2 7ET,2480000,Detached, Freehold, Residential,01-Dec-17,4,0.4
11 Glamorgan Road, ,KT1 4HS,1925000,Detached, Freehold, Residential,01-Dec-17,5,0.3
12a Queens Road, ,KT2 7SN,650000,Detached, Freehold, Residential,01-Dec-17,2,0.4
22 Coombe Lane West, ,KT2 7BX,1650000,Detached, Freehold, Residential,01-Dec-17,4,0.3
42 Gibbon Road, ,KT2 6AB,1077500,Detached, Freehold, Residential,01-Dec-17,5,0.3
29 Gordon Road, ,KT2 6BS,918000,Detached, Freehold, Residential,01-Dec-17,5,0.3
228 Acre Road, ,KT2 6EY,750000,Detached, Freehold, Residential,01-Dec-17,3,0.6
44 Kings Road, ,KT2 5HS,1145000,Detached, Freehold, Residential,01-Dec-17,,
91 Deacon Road, ,KT2 6LS,760000,Detached, Freehold, Residential,01-Dec-17,3,0.4
1 Hardings Close, ,KT2 6DR,667500,Detached, Freehold, Residential,01-Dec-17,3,0.3
96 Park Road, ,KT2 5JZ,1530000,Detached, Freehold, Residential,01-Nov-17,5,0.7
3 Brook Gardens, ,KT2 7ET,1825000,Detached, Freehold, Residential,01-Nov-17,4,0.4
40 Durlston Road, ,KT2 5RT,900000,Detached, Freehold, Residential,01-Nov-17,3,0.7
Orchard House Coombe Park, ,KT2 7JB,500000,Detached, Freehold, Residential,01-Nov-17,6,1.3
10 Coombe Rise, ,KT2 7EX,1725000,Detached, Freehold, Residential,01-Oct-17,4,0.4
73a Alfred Road, ,KT1 2TZ,530000,Detached, Freehold, Residential,01-Oct-17,3,0.7
15 Arthur Road, ,KT2 6BA,822000,Detached, Freehold, Residential,01-Oct-17,3,0.3
78 Gloucester Road, ,KT1 3RA,815000,Detached, Freehold, Residential,01-Oct-17,3,0.2
31 Henley Drive, ,KT2 7EB,1275000,Detached, Freehold, Residential,01-Oct-17,,
16 Chatham Road, ,KT1 3AA,855000,Detached, Freehold, Residential,01-Oct-17,5,0.2
60 Crescent Road, ,KT2 7RF,1320000,Detached, Freehold, Residential,01-Oct-17,5,0.6
Woodhaven30, Henley Drive ,KT2 7EB,1420000,Detached, Freehold, Residential,01-Sep-17,,
Burwood West Road, ,KT2 7HA,2325000,Detached, Freehold, Residential,01-Sep-17,6,0.6
9 Catherine Road, Surbiton,KT6 4HA,1500000,Detached, Freehold, Residential,01-Sep-17,5,0.4
36 Chestnut Road, ,KT2 5AP,1245000,Detached, Freehold, Residential,01-Sep-17,5,0.4
11 Albany Park Road, ,KT2 5SW,2060000,Detached, Freehold, Residential,01-Sep-17,,
28 Gibbon Road, ,KT2 6AB,1400000,Detached, Freehold, Residential,01-Sep-17,,
13 Dutch Gardens, ,KT2 7TT,855000,Detached, Freehold, Residential,01-Sep-17,4,0.6
5 Henley Drive, ,KT2 7EB,2050000,Detached, Freehold, Residential,01-Sep-17,,
11 Bank Lane, ,KT2 5AZ,1695000,Detached, Freehold, Residential,01-Aug-17,4,0.5
75 Deacon Road, ,KT2 6LS,858000,Detached, Freehold, Residential,01-Aug-17,3,0.4
44 Richmond Park Road, ,KT2 6AH,1060000,Detached, Freehold, Residential,01-Aug-17,5,0.3
2 St Albans Road, ,KT2 5HQ,1600000,Detached, Freehold, Residential,01-Aug-17,5,0.6
18 Deacon Road, ,KT2 6LT,1150000,Detached, Freehold, Residential,01-Aug-17,4,0.3
8 Alfred Road, ,KT1 2UA,855000,Detached, Freehold, Residential,01-Aug-17,4,0.7
20 Upper Park Road, ,KT2 5LD,1835000,Detached, Freehold, Residential,01-Aug-17,5,0.7
Links Cottage26, Galsworthy Road ,KT2 7BS,999999,Detached, Freehold, Residential,01-Aug-17,2,0.2
10 Elm Road, ,KT2 6HP,690000,Detached, Freehold, Residential,01-Jul-17,3,0.3
28 Durlston Road, ,KT2 5RT,1150000,Detached, Freehold, Residential,01-Jul-17,4,0.7
81 Coombe Lane West, ,KT2 7HB,1650000,Detached, Freehold, Residential,01-Jul-17,6,0.6
Woodcroft Coombe End, ,KT2 7DQ,5134490,Detached, Freehold, Residential,01-Jun-17,6,0.9
91 Richmond Park Road, ,KT2 6AF,960000,Detached, Freehold, Residential,01-Jun-17,3,0.4
Upton House Warboys Road, ,KT2 7LS,2377500,Detached, Freehold, Residential,01-Jun-17,4,0.9
5 Corscombe Close, ,KT2 7JS,2270000,Detached, Freehold, Residential,01-May-17,5,1.1
50 Lower Ham Road, ,KT2 5AW,2400000,Detached, Freehold, Residential,01-May-17,6,0.3
6 Corscombe Close, ,KT2 7JS,1575000,Detached, Freehold, Residential,01-May-17,5,1.1
11a Albany Park Road, ,KT2 5SW,2050000,Detached, Freehold, Residential,01-May-17,,
194 Park Road, ,KT2 5LS,650000,Detached, Freehold, Residential,01-May-17,,
51 Cobham Road, ,KT1 3AE,760000,Detached, Freehold, Residential,01-May-17,4,0.1
2b Upper Teddington Road, ,KT1 4DY,775000,Detached, Freehold, Residential,01-May-17,0,0.1
51 Chesham Road, ,KT1 3AG,920000,Detached, Freehold, Residential,01-May-17,4,0.2
67 Canbury Avenue, ,KT2 6JR,1035000,Detached, Freehold, Residential,01-May-17,4,0.4
1 Parkgate Close, ,KT2 7LU,927500,Detached, Freehold, Residential,01-May-17,5,0.8
4 Upper Park Road, ,KT2 5LD,1450000,Detached, Freehold, Residential,01-May-17,5,0.7
Waverley12, Coombe Park ,KT2 7JB,3275000,Detached, Freehold, Residential,01-Apr-17,,
58 Thorpe Road, ,KT2 5EU,700000,Detached, Freehold, Residential,01-Apr-17,2,0.4
Waverley12, Coombe Park ,KT2 7JB,3275000,Detached, Freehold, Residential,01-Apr-17,,
58 Thorpe Road, ,KT2 5EU,700000,Detached, Freehold, Residential,01-Apr-17,2,
19 Chivenor Grove, ,KT2 5GE,930000,Detached, Freehold, Residential,01-Apr-17,4,0.9
25 Liverpool Road, ,KT2 7SX,2350000,Detached, Freehold, Residential,01-Apr-17,4,0.5
13b Vicarage Road, Hampton Wick ,KT1 4EB,1435000,Detached, Freehold, Residential,01-Apr-17,5,0.2
7 Coombe Ridings, ,KT2 7JT,3100000,Detached, Freehold, Residential,01-Mar-17,6,1.1
37 Chesham Road, ,KT1 3AG,780000,Detached, Freehold, Residential,01-Mar-17,3,0.2
Garden Cottage Beverley Lane, ,KT2 7EE,810000,Detached, Freehold, Residential,01-Mar-17,2,1
15 Upper Park Road, ,KT2 5LB,1420000,Detached, Freehold, Residential,01-Mar-17,4,0.7
41 St Georges Road, ,KT2 6DL,885000,Detached, Freehold, Residential,01-Mar-17,3,0.4
77a Villiers Road, ,KT1 3AY,637500,Detached, Freehold, Residential,01-Feb-17,,
1 Moor Park Gardens, ,KT2 7UD,2650000,Detached, Freehold, Residential,01-Feb-17,7,0.9
5 Hardings Close, ,KT2 6DR,685000,Detached, Freehold, Residential,01-Feb-17,3,0.3
6 Magnolia Close, ,KT2 7JF,1140000,Detached, Freehold, Residential,01-Feb-17,5,0.8
138 Coombe Lane West, ,KT2 7DD,1650000,Detached, Freehold, Residential,01-Feb-17,5,0.8
Pinecrest Coombe Hill Road, ,KT2 7DU,3852000,Detached, Freehold, Residential,01-Feb-17,,
22 Durlston Road, ,KT2 5RT,1325000,Detached, Freehold, Residential,01-Feb-17,4,0.7
42 Staunton Road, ,KT2 5TL,1140000,Detached, Freehold, Residential,01-Feb-17,5,0.6
4 Hardings Close, ,KT2 6DR,746000,Detached, Freehold, Residential,01-Jan-17,3,0.3
14 Coombe Lane West, ,KT2 7BX,1520000,Detached, Freehold, Residential,01-Jan-17,4,0.3
41 Revell Road, ,KT1 3SL,925000,Detached, Freehold, Residential,01-Jan-17,3,0.3
33 Hardman Road, ,KT2 6RH,595000,Detached, Freehold, Residential,01-Jan-17,3,0.2
126 Coombe Lane West, ,KT2 7DD,1275000,Detached, Freehold, Residential,01-Jan-17,,
22 Homersham Road, ,KT1 3PN,980000,Detached, Freehold, Residential,01-Dec-16,4,0.1
106 Park Road, ,KT2 5JZ,1326000,Detached, Freehold, Residential,01-Dec-16,4,0.7
128 Kings Road, ,KT2 5HT,845000,Detached, Freehold, Residential,01-Dec-16,3,0.4
25 Northweald Lane, ,KT2 5GL,825000,Detached, Freehold, Residential,01-Dec-16,3,1.1
52 Kingston Hill Place, ,KT2 7QY,900000,Detached, Freehold, Residential,01-Dec-16,3,1.4
13 Park Farm Road, ,KT2 5TQ,1100000,Detached, Freehold, Residential,01-Dec-16,3,0.5
123 Gibbon Road, ,KT2 6AE,700000,Detached, Freehold, Residential,01-Dec-16,2,0.4
54 Durlston Road, ,KT2 5RU,878000,Detached, Freehold, Residential,01-Dec-16,3,0.7
14 Bellevue Road, ,KT1 2UD,770000,Detached, Freehold, Residential,01-Dec-16,,
Windsong Coombe Hill Road, ,KT2 7DU,2400000,Detached, Freehold, Residential,01-Nov-16,6,1
1b St Albans Road, ,KT2 5HQ,890000,Detached, Freehold, Residential,01-Nov-16,4,0.6
2 Winchester Close, ,KT2 7JJ,2000000,Detached, Freehold, Residential,01-Nov-16,6,0.6
60 Thorpe Road, ,KT2 5EU,730000,Detached, Freehold, Residential,01-Nov-16,3,0.4
23 Vicarage Road, Hampton Wick ,KT1 4EB,1310000,Detached, Freehold, Residential,01-Nov-16,4,0.2
25 Caversham Road, ,KT1 2PU,710000,Detached, Freehold, Residential,01-Nov-16,3,0.3
37 Upper Park Road, ,KT2 5LB,1180000,Detached, Freehold, Residential,01-Nov-16,3,0.7
69 Kings Road, ,KT2 5JB,805000,Detached, Freehold, Residential,01-Oct-16,3,0.3
31 Caversham Road, ,KT1 2PU,765000,Detached, Freehold, Residential,01-Oct-16,3,0.3
16 St Albans Road, ,KT2 5HQ,1295000,Detached, Freehold, Residential,01-Oct-16,4,0.6
131 Clifton Road, ,KT2 6PL,1200000,Detached, Freehold, Residential,01-Oct-16,0,0.4
21 Cranes Park Avenue, Surbiton,KT5 8BS,970000,Detached, Freehold, Residential,01-Oct-16,4,0.6
127 Coombe Lane West, ,KT2 7HF,1450000,Detached, Freehold, Residential,01-Oct-16,,
16 Riverside Close, ,KT1 2JF,880000,Detached, Freehold, Residential,01-Sep-16,3,0.6
White Lodge Coombe Hill Road, ,KT2 7DU,2775000,Detached, Freehold, Residential,01-Sep-16,5,1
57 Gibbon Road, ,KT2 6AD,1125000,Detached, Freehold, Residential,01-Sep-16,4,0.3
178 Park Road, ,KT2 5LP,1065000,Detached, Freehold, Residential,01-Sep-16,5,0.8
Pen Lodge Kingston Hill, ,KT2 7JP,1125000,Detached, Freehold, Residential,01-Sep-16,4,0.9
27 Cotswold Close, ,KT2 7JN,925000,Detached, Freehold, Residential,01-Sep-16,4,0.8
34 Beaufort Road, ,KT1 2TQ,1200000,Detached, Freehold, Residential,01-Sep-16,,
21 St Albans Road, ,KT2 5HQ,1400000,Detached, Freehold, Residential,01-Sep-16,,
1 School Road, ,KT1 4DE,587500,Detached, Freehold, Residential,01-Aug-16,2,0.1
Greystoke Stoke Road, ,KT2 7NX,2573875,Detached, Freehold, Residential,01-Aug-16,6,0.7
41 Park Road, Hampton Wick ,KT1 4AS,1187500,Detached, Freehold, Residential,01-Aug-16,4,0.1
21 Caversham Road, ,KT1 2PU,826650,Detached, Freehold, Residential,01-Aug-16,3,0.3
4 St Albans Road, ,KT2 5HQ,1150000,Detached, Freehold, Residential,01-Aug-16,3,0.6
Pineview Coombe Hill Road, ,KT2 7DY,850000,Detached, Freehold, Residential,01-Aug-16,4,1
22 Upper Park Road, ,KT2 5LD,1475000,Detached, Freehold, Residential,01-Jul-16,4,0.7
133 Shortlands Road, ,KT2 6HF,1100000,Detached, Freehold, Residential,01-Jul-16,4,0.6
35a Grove Lane, ,KT1 2ST,902500,Detached, Freehold, Residential,01-Jul-16,4,0.8
Fare Lodge Warren Road, ,KT2 7HY,1700000,Detached, Freehold, Residential,01-Jul-16,4,0.9
107 Shortlands Road, ,KT2 6HF,1165000,Detached, Freehold, Residential,01-Jul-16,4,
12 Portsmouth Road, ,KT1 2LU,871646,Detached, Freehold, Residential,01-May-16,,
46 Hardman Road, ,KT2 6RH,702000,Detached, Freehold, Residential,01-May-16,,
16a Orchard Rise, ,KT2 7EY,2100000,Detached, Freehold, Residential,01-May-16,,
11 Coombe Ridings, ,KT2 7JT,3600000,Detached, Freehold, Residential,01-May-16,6,1.1
45 Kings Keep, ,KT1 2HP,912500,Detached, Freehold, Residential,01-Apr-16,,
34 Albany Park Road, ,KT2 5SW,2850000,Detached, Freehold, Residential,01-Apr-16,7,0.6
11 Grove Footpath, Surbiton,KT5 8AT,510000,Detached, Freehold, Residential,01-Apr-16,2,0.5
Little Court Coombe End, ,KT2 7DQ,3050000,Detached, Freehold, Residential,01-Mar-16,7,0.9
Grove Cottage Lower Teddington Road, ,KT1 4HJ,2750000,Detached, Freehold, Residential,01-Mar-16,5,0.2
Cullford Coombe Park, ,KT2 7JB,6475000,Detached, Freehold, Residential,01-Mar-16,,
2 Riverside Close, ,KT1 2JF,1100000,Detached, Freehold, Residential,01-Mar-16,4,0.6
89 Canbury Avenue, ,KT2 6JR,1250000,Detached, Freehold, Residential,01-Mar-16,5,0.4
11 Gibbon Road, ,KT2 6AD,1000000,Detached, Freehold, Residential,01-Mar-16,3,0.3
Holyoke George Road, ,KT2 7NR,2200000,Detached, Freehold, Residential,01-Mar-16,5,0.6
94 Villiers Avenue, Surbiton,KT5 8BH,740000,Detached, Freehold, Residential,01-Mar-16,3,0.6
34 Chestnut Road, ,KT2 5AP,995000,Detached, Freehold, Residential,01-Mar-16,3,0.4
3 West Road, ,KT2 7HA,2775000,Detached, Freehold, Residential,01-Mar-16,5,0.6
23 Northweald Lane, ,KT2 5GL,1370000,Detached, Freehold, Residential,01-Feb-16,5,1.1
5 Albion Road, ,KT2 7BZ,2150000,Detached, Freehold, Residential,01-Feb-16,5,0.5
123 Elm Road, ,KT2 6HY,820000,Detached, Freehold, Residential,01-Feb-16,3,0.5
91 St Albans Road, ,KT2 5HH,1250000,Detached, Freehold, Residential,01-Feb-16,6,0.7
32 Seymour Road, ,KT1 4HW,2000000,Detached, Freehold, Residential,01-Feb-16,6,0.1
1 Bat Gardens, ,KT2 5FS,1650000,Detached, Freehold, Residential,01-Feb-16,,
Piscean Coombe Park, ,KT2 7JD,8500000,Detached, Freehold, Residential,01-Jan-16,6,1.3
120a Coombe Lane West, ,KT2 7DD,1530000,Detached, Freehold, Residential,01-Jan-16,5,0.8
1 Beverley Lane, ,KT2 7EE,1125000,Detached, Freehold, Residential,01-Jan-16,3,1
29 Brunswick Road, ,KT2 6SB,1700000,Detached, Freehold, Residential,01-Dec-15,6,0.3
55 Fassett Road, ,KT1 2TE,1325000,Detached, Freehold, Residential,01-Dec-15,6,0.6
87 Canbury Avenue, ,KT2 6JR,1171000,Detached, Freehold, Residential,01-Dec-15,5,0.4
82 Staunton Road, ,KT2 5TL,760000,Detached, Freehold, Residential,01-Dec-15,3,0.6
9 Wingfield Road, ,KT2 5LR,910000,Detached, Freehold, Residential,01-Dec-15,4,0.9
84 Kings Road, ,KT2 5HS,1010000,Detached, Freehold, Residential,01-Dec-15,3,0.3
5 Durlston Road, ,KT2 5RR,1402000,Detached, Freehold, Residential,01-Dec-15,6,0.7
Coombe Moor Coombe Hill Road, ,KT2 7DY,5150000,Detached, Freehold, Residential,01-Dec-15,6,1
2 Windsor Road, ,KT2 5EY,740000,Detached, Freehold, Residential,01-Nov-15,3,0.4
110 Park Road, ,KT2 5JZ,1025000,Detached, Freehold, Residential,01-Nov-15,3,0.7
25 Henley Drive, ,KT2 7EB,1100000,Detached, Freehold, Residential,01-Nov-15,,
143 Richmond Park Road, ,KT2 6AG,750000,Detached, Freehold, Residential,01-Nov-15,3,0.5
Matham House 3a, Oaklea Passage ,KT1 2AJ,726000,Detached, Freehold, Residential,01-Nov-15,2,0.5
Cranleigh Ballard Close, ,KT2 7PG,1640000,Detached, Freehold, Residential,01-Oct-15,6,0.8
18 Warbank Lane, ,KT2 7ES,1145000,Detached, Freehold, Residential,01-Oct-15,5,0.9
56 Burton Road, ,KT2 5TF,1018000,Detached, Freehold, Residential,01-Oct-15,3,0.5
5 Magnolia Close, ,KT2 7JF,935000,Detached, Freehold, Residential,01-Oct-15,4,0.8
50 Deacon Road, ,KT2 6LU,826000,Detached, Freehold, Residential,01-Oct-15,,
Pandora House Warren Road, ,KT2 7HN,1675000,Detached, Freehold, Residential,01-Oct-15,,
7 Durlston Road, ,KT2 5RR,1650000,Detached, Freehold, Residential,01-Oct-15,4,0.7
87 Durlston Road, ,KT2 5RS,2150000,Detached, Freehold, Residential,01-Oct-15,4,0.8
24a Dinton Road, ,KT2 5JT,1800000,Detached, Freehold, Residential (New Build),01-Oct-15,,
24 Liverpool Road, ,KT2 7SZ,2425000,Detached, Freehold, Residential,01-Oct-15,5,0.5
9 Upper Park Road, ,KT2 5LB,1610000,Detached, Freehold, Residential,01-Oct-15,4,0.7
5 Catherine Road, Surbiton,KT6 4HA,1190000,Detached, Freehold, Residential,01-Sep-15,4,0.4
69 Staunton Road, ,KT2 5TN,992500,Detached, Freehold, Residential,01-Sep-15,5,0.6
89a Richmond Park Road, ,KT2 6AF,896000,Detached, Freehold, Residential,01-Sep-15,3,0.4
4a The Drive, ,KT2 7NY,1310000,Detached, Freehold, Residential,01-Sep-15,4,0.6
30 Elm Road, ,KT2 6HP,600000,Detached, Freehold, Residential,01-Aug-15,3,0.3
76b Shortlands Road, ,KT2 6HE,1025000,Detached, Freehold, Residential,01-Aug-15,4,0.5
49 Burton Road, ,KT2 5TG,1257000,Detached, Freehold, Residential,01-Aug-15,5,0.4
32 Latchmere Road, ,KT2 5TW,1575000,Detached, Freehold, Residential,01-Aug-15,6,0.6
Flat 1 Hatton House, Victoria Road ,KT1 3DP,330000,Detached, Leasehold, Residential,01-Aug-15,2,0.5
1 Fairlawn, Warren Road ,KT2 7HY,2200000,Detached, Freehold, Residential (New Build),01-Aug-15,,
4 Monmouth Avenue, ,KT1 4HR,1000000,Detached, Freehold, Residential,01-Aug-15,,
76a Shortlands Road, ,KT2 6HE,1025000,Detached, Freehold, Residential (New Build),01-Aug-15,,
44 Elm Road, ,KT2 6HP,595000,Detached, Freehold, Residential,01-Aug-15,2,0.3
145b Elm Road, ,KT2 6HY,1015000,Detached, Freehold, Residential,01-Aug-15,,
145a Elm Road, ,KT2 6HY,1040000,Detached, Freehold, Residential (New Build),01-Aug-15,4,0.5
4 Fairlawn, Warren Road ,KT2 7HY,2200000,Detached, Freehold, Residential,01-Aug-15,,
117 Gibbon Road, ,KT2 6AE,775000,Detached, Freehold, Residential,01-Aug-15,3,0.4
7 Parkgate Close, ,KT2 7LU,910000,Detached, Freehold, Residential,01-Aug-15,4,0.8
Hans Place Beverley Lane, ,KT2 7EE,5200000,Detached, Freehold, Residential,01-Aug-15,7,1
Grey Tiles Kingston Hill, ,KT2 7LN,2300000,Detached, Freehold, Residential,01-Aug-15,5,0.9
15 Burton Road, ,KT2 5TG,1350000,Detached, Freehold, Residential,01-Jul-15,5,0.4
73a Villiers Road, ,KT1 3AY,560000,Detached, Freehold, Residential,01-Jul-15,3,0.7
21 Park Road, Hampton Wick ,KT1 4AS,475000,Detached, Freehold, Residential,01-Jul-15,2,0.1
3 Durlston Road, ,KT2 5RR,1365000,Detached, Freehold, Residential,01-Jul-15,6,0.7
25 Tangmere Grove, ,KT2 5GT,1050000,Detached, Freehold, Residential,01-Jul-15,4,1
19 Grange Road, ,KT1 2QU,720000,Detached, Freehold, Residential,01-Jul-15,3,0.4
30 Fernhill Gardens, ,KT2 5DL,850000,Detached, Freehold, Residential,01-Jul-15,3,0.9
